#x y_true y_numerov
4.9855 3.99483e-05 3.99483e-05 
4.9854 3.99674e-05 3.99674e-05 
4.9853 3.99866e-05 3.99866e-05 
4.9852 4.00057e-05 4.00057e-05 
4.9851 4.00248e-05 4.00248e-05 
4.985 4.0044e-05 4.0044e-05 
4.9849 4.00632e-05 4.00632e-05 
4.9848 4.00823e-05 4.00823e-05 
4.9847 4.01015e-05 4.01015e-05 
4.9846 4.01207e-05 4.01207e-05 
4.9845 4.01399e-05 4.01399e-05 
4.9844 4.01591e-05 4.01591e-05 
4.9843 4.01783e-05 4.01783e-05 
4.9842 4.01975e-05 4.01975e-05 
4.9841 4.02168e-05 4.02168e-05 
4.984 4.0236e-05 4.0236e-05 
4.9839 4.02553e-05 4.02553e-05 
4.9838 4.02745e-05 4.02745e-05 
4.9837 4.02938e-05 4.02938e-05 
4.9836 4.03131e-05 4.03131e-05 
4.9835 4.03324e-05 4.03324e-05 
4.9834 4.03517e-05 4.03517e-05 
4.9833 4.0371e-05 4.0371e-05 
4.9832 4.03903e-05 4.03903e-05 
4.9831 4.04096e-05 4.04096e-05 
4.983 4.04289e-05 4.04289e-05 
4.9829 4.04483e-05 4.04483e-05 
4.9828 4.04676e-05 4.04676e-05 
4.9827 4.0487e-05 4.0487e-05 
4.9826 4.05063e-05 4.05063e-05 
4.9825 4.05257e-05 4.05257e-05 
4.9824 4.05451e-05 4.05451e-05 
4.9823 4.05645e-05 4.05645e-05 
4.9822 4.05839e-05 4.05839e-05 
4.9821 4.06033e-05 4.06033e-05 
4.982 4.06227e-05 4.06227e-05 
4.9819 4.06421e-05 4.06421e-05 
4.9818 4.06616e-05 4.06616e-05 
4.9817 4.0681e-05 4.0681e-05 
4.9816 4.07005e-05 4.07005e-05 
4.9815 4.07199e-05 4.07199e-05 
4.9814 4.07394e-05 4.07394e-05 
4.9813 4.07589e-05 4.07589e-05 
4.9812 4.07784e-05 4.07784e-05 
4.9811 4.07979e-05 4.07979e-05 
4.981 4.08174e-05 4.08174e-05 
4.9809 4.08369e-05 4.08369e-05 
4.9808 4.08564e-05 4.08564e-05 
4.9807 4.0876e-05 4.0876e-05 
4.9806 4.08955e-05 4.08955e-05 
4.9805 4.0915e-05 4.0915e-05 
4.9804 4.09346e-05 4.09346e-05 
4.9803 4.09542e-05 4.09542e-05 
4.9802 4.09738e-05 4.09738e-05 
4.9801 4.09933e-05 4.09933e-05 
4.98 4.10129e-05 4.10129e-05 
4.9799 4.10325e-05 4.10325e-05 
4.9798 4.10522e-05 4.10522e-05 
4.9797 4.10718e-05 4.10718e-05 
4.9796 4.10914e-05 4.10914e-05 
4.9795 4.11111e-05 4.11111e-05 
4.9794 4.11307e-05 4.11307e-05 
