data  errp  errm 
X Y X Y X Y
278.90931724354425 229.00718677572948 279.83833430581524 278.3495960214523 278.8197824752623 181.70675271886643
282.2035598830779 289.95978652188415 282.9840407509323 335.16533754225867 280.3935546814783 245.06048267078324
290.00644304189535 320.5782111976716 290.95240508049216 349.935966095918 288.99916541771637 287.90741330605107
295.0184043889355 357.35478359525365 293.88778732435435 380.63552981719477 294.10932385251976 332.3853024435906
302.5623970975218 403.962571388354 302.4167170597206 428.26769916097805 302.3443986187559 378.8188880050128
312.1172141269909 463.0868178854816 310.466067573518 479.05780686710034 311.31043390145845 450.2850828421566
313.1096521189161 453.44294515933353 314.6274209389624 465.2418605170284 312.23483102230773 432.74161578138984
316.96668356088776 442.9479085980293 317.422891480732 455.0110938497977 317.1484645667716 421.24094833333737
325.29458379353184 392.6808904493043 325.08683186830217 410.51082450331484 324.00016672207283 373.0078010947047
332.0578122273019 358.4450605137552 331.4773854378565 375.59884999401487 331.87944575804886 341.678250029982
334.4357161699442 368.6292495508606 334.57599302470135 382.6732003628062 335.05644818128485 355.097571662653
340.7063009635557 311.51799431926753 340.0840153151853 324.1455910286109 339.71430593790694 294.18609490989365
352.96811460609644 284.3420262171336 353.1485589996687 297.5989734433736 353.9698186803405 270.08950026074774
368.55417638214215 257.11415623239986 369.16686860784637 269.41507479739687 368.35137848913837 244.80105059073037
381.42438217356107 236.88926769603177 382.4228900925337 244.19408233335324 381.7031510624934 228.46130744459535
388.8765504695927 214.4756617191538 388.2527702208749 227.6468110090971 388.5963619952703 201.12613749673605
393.94301462786444 273.1504918708523 392.77671365078135 284.224089791671 393.32012758500923 262.5129643976508
405.77560584009143 247.58527584538828 405.94580574091634 257.0177216970704 406.0721721323439 238.77677690425702
435.73391411407994 264.5637709071065 436.8688705438583 272.40349567868896 435.6254332285027 258.7550934376174
450.4746149961188 271.735284451777 450.0925315914903 278.8121866893088 449.8153922065146 263.9136259341462
464.7735330315337 315.9051248399473 464.36106505896686 322.99816333056066 464.1177134107651 308.24939463659996
476.58030313210645 287.34887488391854 476.7427142484364 296.2122972385833 475.91406029022534 280.7129883090501
484.6388148900167 310.00352020660534 483.7092679679521 319.9421711457552 483.42409970028257 303.55433521683153
497.323206578714 333.65184083035007 498.5859141227488 341.5376627765623 496.07669879873856 326.71068596133625
500.34827347243714 345.14362936335505 499.956646476676 356.20729310965385 499.66189965203006 337.9619125295875
511.6822780254142 370.61041561450514 509.52097137048605 381.15706980300934 511.5347777683152 361.20505478877595
523.0218669021637 367.9221887423832 523.5182332208567 374.9330646318426 522.704166738943 361.1747676430932
531.6036393154936 384.1701680195515 532.1681358708286 391.0163760510189 532.5570777604805 377.1049375672487
550.255022238654 393.5842768560519 549.5388607865083 401.1484145333445 548.0752817537236 387.33393517061995
556.3256106702645 386.1858771506488 555.6908245372405 392.78228645160544 556.6638557465476 374.8437207358871
559.0885622836087 398.37952604844196 560.9588583050408 404.88356064898306 559.4648645552721 390.9404528358849
579.9168332410952 389.00642513732026 579.0113085932627 399.19687232746116 578.7382100204289 382.75343027469034
582.06923621542 380.67379374694315 582.7451420058497 385.43599008737834 579.8427758076873 370.43053928107093
595.5599464419694 376.798572944457 596.1467552811363 385.40197025040703 595.8187239803412 366.94520674995056
