#E sigma_tot
0.311051 33.1664
0.312932 33.0725
0.314814 32.9866
0.316695 32.9084
0.318576 32.8379
0.320458 32.7778
0.322339 32.7218
0.32422 32.6761
0.326102 32.6371
0.327983 32.6016
0.329864 32.5758
0.331746 32.5564
0.333627 32.5462
0.335508 32.5389
0.33739 32.5374
0.339271 32.5447
0.341153 32.5545
0.343034 32.5727
0.344915 32.5932
0.346797 32.6217
0.348678 32.6552
0.350559 32.6934
0.352441 32.7363
0.354322 32.7837
0.356203 32.8355
0.358085 32.8937
0.359966 32.9538
0.361847 33.0197
0.363729 33.0875
0.36561 33.1606
0.367492 33.2369
0.369373 33.3162
0.371254 33.3986
0.373136 33.4837
0.375017 33.5715
0.376898 33.6617
0.37878 33.7543
0.380661 33.8491
0.382542 33.945
0.384424 34.0433
0.386305 34.142
0.388186 34.243
0.390068 34.3436
0.391949 34.4447
0.393831 34.5461
0.395712 34.6477
0.397593 34.7492
0.399475 34.8504
0.401356 34.9511
0.403237 35.0509
0.405119 35.1498
0.407 35.2447
0.408881 35.3407
0.410763 35.4323
0.412644 35.5245
0.414525 35.6119
0.416407 35.6993
0.418288 35.7817
0.420169 35.8614
0.422051 35.9381
0.423932 36.0116
0.425814 36.0818
0.427695 36.1485
0.429576 36.2115
0.431458 36.2708
0.433339 36.3253
0.43522 36.3769
0.437102 36.4244
0.438983 36.4673
0.440864 36.5066
0.442746 36.5415
0.444627 36.5724
0.446508 36.5992
0.44839 36.622
0.450271 36.6408
0.452153 36.6554
0.454034 36.6663
0.455915 36.6733
0.457797 36.6765
0.459678 36.6762
0.461559 36.6722
0.463441 36.6648
0.465322 36.6541
0.467203 36.6402
0.469085 36.6229
0.470966 36.603
0.472847 36.5797
0.474729 36.5545
0.47661 36.5259
0.478492 36.4959
0.480373 36.4626
0.482254 36.4271
0.484136 36.3911
0.486017 36.3519
0.487898 36.311
0.48978 36.2685
0.491661 36.2246
0.493542 36.1795
0.495424 36.1332
0.497305 36.086
0.499186 36.0378
0.501068 35.989
0.502949 35.9371
0.504831 35.8871
0.506712 35.8366
0.508593 35.7835
0.510475 35.7324
0.512356 35.6789
0.514237 35.6276
0.516119 35.5741
0.518 35.5228
0.519881 35.4696
0.521763 35.4167
0.523644 35.3659
0.525525 35.3136
0.527407 35.2618
0.529288 35.2105
0.531169 35.1598
0.533051 35.1096
0.534932 35.06
0.536814 35.011
0.538695 34.9626
0.540576 34.9148
0.542458 34.8678
0.544339 34.8213
0.54622 34.7757
0.548102 34.7308
0.549983 34.6866
0.551864 34.6436
0.553746 34.6009
0.555627 34.5589
0.557508 34.5185
0.55939 34.478
0.561271 34.4394
0.563153 34.4016
0.565034 34.3634
0.566915 34.3273
0.568797 34.2921
0.570678 34.2562
0.572559 34.2226
0.574441 34.1897
0.576322 34.1577
0.578203 34.1264
0.580085 34.0959
0.581966 34.0661
0.583847 34.0371
0.585729 34.0088
0.58761 33.9812
0.589492 33.9543
0.591373 33.9281
0.593254 33.9026
0.595136 33.8778
0.597017 33.8545
0.598898 33.831
0.60078 33.8081
0.602661 33.7859
0.604542 33.7647
0.606424 33.7437
0.608305 33.7234
0.610186 33.7035
0.612068 33.6841
0.613949 33.6653
0.615831 33.6467
0.617712 33.629
0.619593 33.6111
0.621475 33.5935
0.623356 33.5773
0.625237 33.5604
