#E sigma_tot
0.0627119 13.9585
0.0645932 14.6419
0.0664746 15.5578
0.0683559 16.829
0.0702373 18.6552
0.0721186 21.3752
0.074 25.5508
0.0758814 32.0398
0.0777627 41.6594
0.0796441 53.3444
0.0815254 61.1199
0.0834068 58.8783
0.0852881 50.1515
0.0871695 41.3184
0.0890508 34.6365
0.0909322 29.978
0.0928136 26.7593
0.0946949 24.5016
0.0965763 22.8852
0.0984576 21.7046
0.100339 20.8277
0.10222 20.1683
0.104102 19.6631
0.105983 19.2771
0.107864 18.9828
0.109746 18.7605
0.111627 18.5888
0.113508 18.4637
0.11539 18.3699
0.117271 18.3085
0.119153 18.275
0.121034 18.2581
0.122915 18.2624
0.124797 18.2854
0.126678 18.3183
0.128559 18.3601
0.130441 18.4162
0.132322 18.4852
0.134203 18.5607
0.136085 18.6429
0.137966 18.7361
0.139847 18.8394
0.141729 18.9486
0.14361 19.0643
0.145492 19.1894
0.147373 19.3212
0.149254 19.4621
0.151136 19.6103
0.153017 19.7664
0.154898 19.932
0.15678 20.1063
0.158661 20.2897
0.160542 20.4837
0.162424 20.688
0.164305 20.9038
0.166186 21.1311
0.168068 21.3706
0.169949 21.624
0.171831 21.8911
0.173712 22.1729
0.175593 22.47
0.177475 22.7848
0.179356 23.117
0.181237 23.4691
0.183119 23.8406
0.185 24.2324
0.186881 24.6456
0.188763 25.081
0.190644 25.5411
0.192525 26.0251
0.194407 26.5347
0.196288 27.068
0.198169 27.627
0.200051 28.2107
0.201932 28.8179
0.203814 29.4486
0.205695 30.0996
0.207576 30.7694
0.209458 31.4553
0.211339 32.1507
0.21322 32.8569
0.215102 33.5627
0.216983 34.2652
0.218864 34.9546
0.220746 35.631
0.222627 36.2805
0.224508 36.8995
0.22639 37.481
0.228271 38.0163
0.230153 38.5039
0.232034 38.9354
0.233915 39.3088
0.235797 39.6215
0.237678 39.8719
0.239559 40.0611
0.241441 40.1886
0.243322 40.259
0.245203 40.2742
0.247085 40.2385
0.248966 40.1578
0.250847 40.0341
0.252729 39.8753
0.25461 39.6851
0.256492 39.4685
0.258373 39.2303
0.260254 38.9751
0.262136 38.7074
0.264017 38.4298
0.265898 38.1466
0.26778 37.8603
0.269661 37.5734
0.271542 37.288
0.273424 37.0067
0.275305 36.7294
0.277186 36.4593
0.279068 36.1951
0.280949 35.94
0.282831 35.6936
0.284712 35.4578
0.286593 35.2298
0.288475 35.0113
0.290356 34.8045
0.292237 34.6076
0.294119 34.4182
0.296 34.2408
0.297881 34.0731
0.299763 33.9148
0.301644 33.7687
0.303525 33.6289
0.305407 33.501
0.307288 33.379
0.309169 33.2685
