#E sigma_tot
0.257132 41.2537
0.257747 41.2009
0.258363 41.1454
0.258978 41.0874
0.259593 41.0274
0.260208 40.9647
0.260824 40.9001
0.261439 40.8332
0.262054 40.7645
0.262669 40.6942
0.263285 40.622
0.2639 40.5484
0.264515 40.4734
0.265131 40.397
0.265746 40.3195
0.266361 40.2409
0.266976 40.1613
0.267592 40.0807
0.268207 39.9995
0.268822 39.9175
0.269437 39.835
0.270053 39.7518
0.270668 39.6683
0.271283 39.5843
0.271898 39.5001
0.272514 39.4158
0.273129 39.3311
0.273744 39.2464
0.274359 39.1619
0.274975 39.0773
0.27559 38.9927
0.276205 38.9084
0.27682 38.8244
0.277436 38.7405
0.278051 38.657
0.278666 38.5738
0.279281 38.491
0.279897 38.4087
0.280512 38.3268
0.281127 38.2455
0.281742 38.1647
0.282358 38.0846
0.282973 38.005
0.283588 37.9261
0.284203 37.8479
0.284819 37.7703
0.285434 37.693
0.286049 37.6168
0.286664 37.5414
0.28728 37.4668
0.287895 37.3929
0.28851 37.3199
0.289125 37.2476
0.289741 37.177
0.290356 37.1065
0.290971 37.0367
0.291586 36.9679
0.292202 36.8998
0.292817 36.8327
0.293432 36.7663
0.294047 36.7009
0.294663 36.6363
0.295278 36.574
0.295893 36.5112
0.296508 36.4493
0.297124 36.3883
0.297739 36.3282
0.298354 36.2705
0.298969 36.2122
0.299585 36.1548
0.3002 36.0982
0.300815 36.0443
0.301431 35.9896
0.302046 35.9357
0.302661 35.8846
0.303276 35.8325
0.303892 35.7812
0.304507 35.7329
0.305122 35.6834
0.305737 35.6348
0.306353 35.5892
0.306968 35.5423
0.307583 35.4985
0.308198 35.4533
0.308814 35.409
0.309429 35.3678
0.310044 35.3252
0.310659 35.2858
0.311275 35.2448
0.31189 35.2071
0.312505 35.1678
0.31312 35.1318
0.313736 35.0942
0.314351 35.0598
0.314966 35.0238
0.315581 34.9911
0.316197 34.9592
0.316812 34.9256
0.317427 34.8953
0.318042 34.8632
0.318658 34.8346
0.319273 34.8067
0.319888 34.7769
0.320503 34.7506
0.321119 34.7251
0.321734 34.6975
0.322349 34.6735
0.322964 34.6503
0.32358 34.6249
0.324195 34.6032
0.32481 34.5821
0.325425 34.5618
