#E sigma_tot
0.0627119 14.0222
0.0645932 14.6817
0.0664746 15.5629
0.0683559 16.7735
0.0702373 18.4961
0.0721186 21.0345
0.074 24.8916
0.0758814 30.8372
0.0777627 39.7139
0.0796441 51.0509
0.0815254 60.1053
0.0834068 60.1506
0.0852881 52.5064
0.0871695 43.5635
0.0890508 36.4359
0.0909322 31.368
0.0928136 27.8436
0.0946949 25.3693
0.0965763 23.5997
0.0984576 22.3062
0.100339 21.349
0.10222 20.6254
0.104102 20.0754
0.105983 19.6553
0.107864 19.3287
0.109746 19.0793
0.111627 18.8918
0.113508 18.7472
0.11539 18.6439
0.117271 18.5753
0.119153 18.5286
0.121034 18.5001
0.122915 18.5012
0.124797 18.5147
0.126678 18.5392
0.128559 18.5798
0.130441 18.6289
0.132322 18.6916
0.134203 18.7667
0.136085 18.8482
0.137966 18.9363
0.139847 19.0351
0.141729 19.1403
0.14361 19.2553
0.145492 19.3768
0.147373 19.5055
0.149254 19.6436
0.151136 19.7891
0.153017 19.9441
0.154898 20.1073
0.15678 20.2802
0.158661 20.4612
0.160542 20.6536
0.162424 20.8555
0.164305 21.0689
0.166186 21.2938
0.168068 21.5318
0.169949 21.7817
0.171831 22.0472
0.173712 22.3262
0.175593 22.6217
0.177475 22.9335
0.179356 23.2625
0.181237 23.6113
0.183119 23.9792
0.185 24.3673
0.186881 24.7782
0.188763 25.2095
0.190644 25.6653
0.192525 26.1462
0.194407 26.6499
0.196288 27.1793
0.198169 27.7333
0.200051 28.3118
0.201932 28.9141
0.203814 29.5387
0.205695 30.1842
0.207576 30.8488
0.209458 31.5296
0.211339 32.2204
0.21322 32.919
0.215102 33.6207
0.216983 34.3197
0.218864 35.0063
0.220746 35.6773
0.222627 36.329
0.224508 36.9449
0.22639 37.5273
0.228271 38.0665
0.230153 38.5551
0.232034 38.9905
0.233915 39.3687
0.235797 39.6869
0.237678 39.9442
0.239559 40.1395
0.241441 40.2755
0.243322 40.3534
0.245203 40.3764
0.247085 40.3499
0.248966 40.2752
0.250847 40.1601
0.252729 40.008
0.25461 39.8242
0.256492 39.6134
0.258373 39.3805
0.260254 39.13
0.262136 38.8665
0.264017 38.593
0.265898 38.3129
0.26778 38.0292
0.269661 37.7443
0.271542 37.4605
0.273424 37.1796
0.275305 36.9039
0.277186 36.6341
0.279068 36.3712
0.280949 36.116
0.282831 35.8691
0.284712 35.631
0.286593 35.402
0.288475 35.1843
0.290356 34.9762
0.292237 34.7758
0.294119 34.5871
0.296 34.4081
0.297881 34.2386
0.299763 34.0812
0.301644 33.9304
0.303525 33.7888
0.305407 33.6589
0.307288 33.5378
0.309169 33.4252
0.311051 33.3211
0.312932 33.2252
0.314814 33.1372
0.316695 33.057
0.318576 32.9844
0.320458 32.9223
0.322339 32.8674
0.32422 32.8164
0.326102 32.7754
0.327983 32.741
0.329864 32.7132
0.331746 32.6917
0.333627 32.6763
0.335508 32.667
0.33739 32.6667
0.339271 32.6689
0.341153 32.6798
0.343034 32.6961
0.344915 32.7146
0.346797 32.7412
0.348678 32.7727
0.350559 32.8091
0.352441 32.8501
0.354322 32.8981
0.356203 32.948
0.358085 33.0021
0.359966 33.0625
0.361847 33.1247
0.363729 33.1925
0.36561 33.2638
0.367492 33.337
0.369373 33.4149
0.371254 33.4957
0.373136 33.5794
0.375017 33.6661
0.376898 33.7547
0.37878 33.8457
0.380661 33.9389
0.382542 34.0334
0.384424 34.1302
0.386305 34.2275
0.388186 34.3257
0.390068 34.4263
0.391949 34.5261
0.393831 34.6263
0.395712 34.7266
0.397593 34.8269
0.399475 34.9269
0.401356 35.0264
0.403237 35.1225
0.405119 35.2202
0.407 35.3166
0.408881 35.4089
0.410763 35.502
0.412644 35.5906
0.414525 35.677
0.416407 35.7635
0.418288 35.845
0.420169 35.9237
0.422051 35.9995
0.423932 36.0721
0.425814 36.1415
0.427695 36.2074
0.429576 36.2697
0.431458 36.3282
0.433339 36.382
0.43522 36.4328
0.437102 36.4796
0.438983 36.5219
0.440864 36.5605
0.442746 36.5948
0.444627 36.6251
0.446508 36.6514
0.44839 36.6737
0.450271 36.6919
0.452153 36.7063
0.454034 36.7167
0.455915 36.7233
0.457797 36.7262
0.459678 36.7254
0.461559 36.7211
0.463441 36.7134
0.465322 36.7022
0.467203 36.688
0.469085 36.6708
0.470966 36.6502
0.472847 36.6273
0.474729 36.6011
0.47661 36.5732
0.478492 36.5419
0.480373 36.5084
0.482254 36.4741
0.484136 36.4365
0.486017 36.3971
0.487898 36.3559
0.48978 36.3132
0.491661 36.2691
0.493542 36.2238
0.495424 36.1773
0.497305 36.1299
0.499186 36.0816
0.501068 36.0326
0.502949 35.9805
0.504831 35.9303
0.506712 35.8796
0.508593 35.8262
0.510475 35.775
0.512356 35.7213
0.514237 35.6697
0.516119 35.616
0.518 35.5645
0.519881 35.511
0.521763 35.4579
0.523644 35.4068
0.525525 35.3543
0.527407 35.3022
0.529288 35.2506
0.531169 35.1996
0.533051 35.1491
0.534932 35.0991
0.536814 35.0498
0.538695 35.0011
0.540576 34.953
0.542458 34.9056
0.544339 34.8587
0.54622 34.8128
0.548102 34.7675
0.549983 34.7229
0.551864 34.6795
0.553746 34.6365
0.555627 34.5948
0.557508 34.5533
0.55939 34.5134
0.561271 34.4733
0.563153 34.4352
0.565034 34.3966
0.566915 34.3601
0.568797 34.3244
0.570678 34.2896
0.572559 34.2541
0.574441 34.2209
0.576322 34.1884
0.578203 34.1567
0.580085 34.1258
0.581966 34.0956
0.583847 34.0662
0.585729 34.0375
0.58761 34.0095
0.589492 33.9822
0.591373 33.9556
0.593254 33.9297
0.595136 33.9055
0.597017 33.8809
0.598898 33.8569
0.60078 33.8337
0.602661 33.8116
0.604542 33.7895
0.606424 33.7684
0.608305 33.7475
0.610186 33.7272
0.612068 33.7074
0.613949 33.6883
0.615831 33.6693
0.617712 33.6505
0.619593 33.6329
0.621475 33.615
0.623356 33.5972
0.625237 33.5811
