#x l=1 jerr nerr l=2 jerr nerr
8.8012 1.38778e-17 0 6.93889e-18 -1.38778e-17 0 -6.93889e-18
8.9011 0 0 0 0 0 1.38778e-17
9.001 0 0 -6.93889e-18 0 0 -6.93889e-18
9.1009 0 0 -6.93889e-18 0 1.38778e-17 6.93889e-18
9.2008 0 -1.73472e-18 -3.46945e-18 0 1.38778e-17 -1.38778e-17
9.3007 0 -1.73472e-18 0 0 0 1.38778e-17
9.4006 0 0 6.93889e-18 0 0 1.38778e-17
9.5005 0 0 0 0 0 -1.38778e-17
9.6004 0 0 -1.38778e-17 -1.38778e-17 0 0
9.7003 0 0 -6.93889e-18 0 -1.38778e-17 0
9.8002 0 0 0 -1.38778e-17 -6.93889e-18 0
9.9001 0 0 0 0 -6.93889e-18 0
