b E dEavg EJF dEJFavg
1.05 0.0887325 0.00688817 0.112187 0.0102109
1.065 -0.023868 0.00631055 0.00372195 0.0100383
1.08 -0.129581 0.00508893 -0.0935616 0.00934373
1.095 0.0570723 0.00883968 0.422822 0.0208899
1.11 -0.270453 0.00311559 -0.217358 0.0146556
1.125 -0.312313 0.00336605 -0.270117 0.0112604
1.14 -0.351114 0.00234208 -0.31206 0.00709251
1.155 -0.372442 0.00154861 -0.329267 0.00547742
1.17 -0.3813 0.00136952 -0.332359 0.00487535
1.185 -0.385144 0.00167735 -0.319063 0.00496445
1.2 -0.373614 0.00170824 -0.335249 0.00438622
1.215 -0.354486 0.00210473 -0.302733 0.00388411
1.23 -0.328363 0.00321299 -0.273577 0.00454969
1.245 -0.297872 0.00298957 -0.240601 0.00360251
1.26 -0.265449 0.00383063 -0.199868 0.0040147
1.275 -0.217959 0.00406083 -0.153058 0.00353317
1.29 -0.180084 0.00535757 -0.0941195 0.0040884
1.305 -0.14053 0.0064123 -0.0297759 0.00380247
1.32 -0.0799035 0.00690188 0.0411258 0.00401959
1.335 0.0148712 0.00667059 0.0870685 0.00349568
