#E y_xmax_even y_xmax_odd
1.50501 -5681.22 -25.1613 
1.51276 -5613.1 -63.2492 
1.52052 -5545.05 -100.247 
1.52828 -5477.09 -136.174 
1.53604 -5409.25 -171.053 
1.54379 -5341.54 -204.902 
1.55155 -5273.96 -237.741 
1.55931 -5206.55 -269.59 
1.56707 -5139.3 -300.469 
1.57482 -5072.23 -330.395 
1.58258 -5005.37 -359.387 
1.59034 -4938.71 -387.465 
1.5981 -4872.27 -414.645 
1.60586 -4806.07 -440.946 
1.61361 -4740.12 -466.385 
1.62137 -4674.42 -490.979 
1.62913 -4609 -514.745 
1.63689 -4543.85 -537.699 
1.64464 -4478.99 -559.859 
1.6524 -4414.43 -581.24 
1.66016 -4350.19 -601.858 
1.66792 -4286.26 -621.729 
1.67568 -4222.66 -640.868 
1.68343 -4159.39 -659.29 
1.69119 -4096.48 -677.011 
1.69895 -4033.91 -694.044 
1.70671 -3971.71 -710.404 
1.71446 -3909.88 -726.106 
1.72222 -3848.42 -741.163 
1.72998 -3787.34 -755.59 
1.73774 -3726.66 -769.398 
1.7455 -3666.37 -782.603 
1.75325 -3606.49 -795.217 
1.76101 -3547.01 -807.253 
1.76877 -3487.95 -818.723 
1.77653 -3429.3 -829.64 
1.78428 -3371.08 -840.017 
1.79204 -3313.3 -849.865 
1.7998 -3255.94 -859.196 
1.80756 -3199.03 -868.021 
1.81532 -3142.56 -876.353 
1.82307 -3086.53 -884.202 
1.83083 -3030.96 -891.58 
1.83859 -2975.84 -898.498 
1.84635 -2921.19 -904.965 
1.8541 -2866.99 -910.993 
1.86186 -2813.26 -916.593 
1.86962 -2759.99 -921.773 
1.87738 -2707.2 -926.545 
1.88514 -2654.87 -930.917 
1.89289 -2603.03 -934.9 
1.90065 -2551.66 -938.504 
1.90841 -2500.77 -941.737 
1.91617 -2450.36 -944.608 
1.92392 -2400.43 -947.128 
1.93168 -2350.99 -949.303 
1.93944 -2302.03 -951.144 
1.9472 -2253.56 -952.659 
1.95495 -2205.57 -953.856 
1.96271 -2158.08 -954.744 
1.97047 -2111.07 -955.329 
1.97823 -2064.55 -955.622 
1.98599 -2018.53 -955.628 
1.99374 -1972.99 -955.357 
2.0015 -1927.95 -954.815 
2.00926 -1883.39 -954.01 
2.01702 -1839.33 -952.949 
2.02477 -1795.76 -951.639 
2.03253 -1752.68 -950.088 
2.04029 -1710.09 -948.301 
2.04805 -1667.98 -946.287 
2.05581 -1626.37 -944.051 
2.06356 -1585.24 -941.6 
2.07132 -1544.6 -938.941 
2.07908 -1504.45 -936.079 
2.08684 -1464.79 -933.021 
2.09459 -1425.6 -929.773 
2.10235 -1386.9 -926.341 
2.11011 -1348.69 -922.73 
2.11787 -1310.95 -918.947 
2.12563 -1273.69 -914.996 
2.13338 -1236.91 -910.884 
2.14114 -1200.61 -906.615 
2.1489 -1164.78 -902.195 
2.15666 -1129.42 -897.63 
2.16441 -1094.53 -892.923 
2.17217 -1060.11 -888.081 
2.17993 -1026.16 -883.108 
2.18769 -992.669 -878.008 
2.19545 -959.643 -872.787 
2.2032 -927.078 -867.449 
2.21096 -894.97 -861.999 
2.21872 -863.318 -856.44 
2.22648 -832.12 -850.777 
2.23423 -801.372 -845.015 
2.24199 -771.073 -839.158 
2.24975 -741.22 -833.209 
2.25751 -711.811 -827.173 
2.26527 -682.842 -821.053 
2.27302 -654.312 -814.854 
2.28078 -626.217 -808.578 
2.28854 -598.555 -802.23 
2.2963 -571.323 -795.814 
2.30405 -544.518 -789.331 
2.31181 -518.138 -782.788 
2.31957 -492.179 -776.185 
2.32733 -466.638 -769.527 
2.33509 -441.514 -762.817 
2.34284 -416.802 -756.058 
2.3506 -392.5 -749.253 
2.35836 -368.604 -742.405 
2.36612 -345.112 -735.518 
2.37387 -322.021 -728.592 
2.38163 -299.326 -721.633 
2.38939 -277.026 -714.642 
2.39715 -255.118 -707.622 
2.4049 -233.597 -700.575 
2.41266 -212.46 -693.505 
2.42042 -191.706 -686.413 
2.42818 -171.329 -679.302 
2.43594 -151.328 -672.175 
2.44369 -131.698 -665.033 
2.45145 -112.437 -657.88 
2.45921 -93.541 -650.716 
2.46697 -75.0069 -643.545 
2.47472 -56.8315 -636.368 
2.48248 -39.0112 -629.187 
2.49024 -21.5429 -622.005 
2.498 -4.42328 -614.823 
2.50576 12.3511 -607.644 
2.51351 28.7836 -600.468 
2.52127 44.8775 -593.299 
2.52903 60.6362 -586.136 
2.53679 76.0631 -578.984 
2.54454 91.1614 -571.842 
2.5523 105.935 -564.712 
2.56006 120.386 -557.597 
2.56782 134.519 -550.497 
2.57558 148.337 -543.415 
2.58333 161.844 -536.35 
2.59109 175.042 -529.306 
2.59885 187.935 -522.283 
2.60661 200.526 -515.283 
2.61436 212.819 -508.306 
2.62212 224.818 -501.355 
2.62988 236.524 -494.429 
2.63764 247.943 -487.531 
2.6454 259.076 -480.662 
2.65315 269.928 -473.823 
2.66091 280.502 -467.014 
2.66867 290.801 -460.236 
2.67643 300.828 -453.492 
2.68418 310.586 -446.781 
2.69194 320.08 -440.105 
2.6997 329.311 -433.464 
2.70746 338.284 -426.86 
2.71522 347.002 -420.293 
2.72297 355.467 -413.763 
2.73073 363.683 -407.273 
2.73849 371.654 -400.822 
2.74625 379.382 -394.411 
2.754 386.871 -388.041 
2.76176 394.124 -381.713 
2.76952 401.143 -375.427 
2.77728 407.933 -369.184 
2.78504 414.495 -362.984 
2.79279 420.834 -356.828 
2.80055 426.953 -350.717 
2.80831 432.854 -344.65 
2.81607 438.54 -338.629 
2.82382 444.015 -332.654 
2.83158 449.281 -326.725 
2.83934 454.342 -320.843 
2.8471 459.201 -315.009 
2.85485 463.86 -309.221 
2.86261 468.322 -303.482 
2.87037 472.591 -297.791 
2.87813 476.669 -292.149 
2.88589 480.56 -286.555 
2.89364 484.265 -281.011 
2.9014 487.789 -275.516 
2.90916 491.133 -270.071 
2.91692 494.3 -264.675 
2.92467 497.295 -259.33 
2.93243 500.118 -254.035 
2.94019 502.773 -248.79 
2.94795 505.263 -243.596 
2.95571 507.59 -238.452 
2.96346 509.757 -233.36 
2.97122 511.767 -228.318 
2.97898 513.623 -223.327 
2.98674 515.326 -218.388 
2.99449 516.88 -213.5 
3.00225 518.287 -208.663 
3.01001 519.55 -203.877 
3.01777 520.672 -199.143 
3.02553 521.654 -194.459 
3.03328 522.5 -189.828 
3.04104 523.211 -185.247 
3.0488 523.791 -180.718 
3.05656 524.241 -176.24 
3.06431 524.565 -171.813 
3.07207 524.765 -167.437 
3.07983 524.842 -163.113 
3.08759 524.799 -158.839 
3.09535 524.64 -154.616 
3.1031 524.365 -150.444 
3.11086 523.977 -146.323 
3.11862 523.479 -142.252 
3.12638 522.873 -138.232 
3.13413 522.161 -134.262 
3.14189 521.344 -130.342 
3.14965 520.427 -126.472 
3.15741 519.409 -122.652 
